Title,Department,Genre,BorrowDate,Count
Robotics,English,Education,2022-12-10,14
Environmental Studies,Physics,Education,2023-08-03,19
Robotics,Computer Science,Reference,2025-10-30,9
Artificial Intelligence,Biology,Science,2022-03-02,14
Advanced Mathematics,History,Technology,2020-03-15,16
Artificial Intelligence,Biology,Mystery,2022-04-11,10
Modern History,Physics,Biography,2024-06-13,11
Robotics,Physics,Education,2020-10-14,18
Microprocessors,History,Science,2021-01-30,20
Advanced Mathematics,Engineering,Reference,2023-08-15,12
Microprocessors,History,Fiction,2024-01-19,17
Network Security,Physics,Biography,2024-04-20,12
Environmental Studies,Economics,Science,2025-09-18,20
Machine Learning,Engineering,Education,2023-02-19,9
Digital Electronics,English,Fiction,2020-07-20,12
Network Security,Computer Science,Education,2021-08-11,14
Advanced Mathematics,Physics,Technology,2023-03-04,8
Robotics,Chemistry,Technology,2025-06-16,13
Genetics,Biology,Education,2021-09-03,19
Microprocessors,Chemistry,Science,2020-05-02,20
Data Structures,English,Education,2020-04-02,19
Advanced Mathematics,Biology,Reference,2022-08-18,10
Artificial Intelligence,Biology,Reference,2023-04-02,16
Network Security,Chemistry,Reference,2021-07-03,6
Digital Logic Design,Physics,Science,2023-01-24,7
Quantum Physics,Economics,Education,2025-02-25,18
Network Security,Engineering,Biography,2020-09-25,10
Robotics,Chemistry,Science,2023-01-09,12
Microprocessors,History,Fiction,2024-10-14,18
Data Structures,Physics,Reference,2021-04-18,15
Microprocessors,Biology,Fiction,2022-02-13,18
Cyber Ethics,English,Technology,2023-07-16,11
Genetics,Economics,Fiction,2021-05-24,7
Network Security,Physics,Technology,2021-03-04,14
Database Systems,Economics,Reference,2024-01-30,20
Operating Systems,Physics,Fiction,2024-04-16,16
Genetics,Computer Science,Technology,2025-11-29,15
Civil Engineering Basics,History,Science,2020-07-25,16
Civil Engineering Basics,Biology,Reference,2020-09-14,8
Network Security,English,Education,2022-08-15,18
Machine Learning,Physics,Education,2023-04-17,7
Operating Systems,Engineering,Mystery,2021-03-31,6
Quantum Physics,Physics,Biography,2021-10-11,14
Artificial Intelligence,Economics,Fiction,2020-10-10,7
Organic Chemistry,Engineering,Education,2025-05-03,19
Operating Systems,Mathematics,Mystery,2025-09-11,8
Organic Chemistry,Biology,Education,2024-07-15,17
Organic Chemistry,Physics,Science,2022-01-20,11
Poetry Collection,Mathematics,Science,2020-09-30,16
Operating Systems,Physics,Mystery,2021-12-20,14
Quantum Physics,Economics,Technology,2020-12-18,18
Modern History,Chemistry,Fiction,2024-09-18,6
Organic Chemistry,Engineering,Biography,2023-01-11,15
Modern History,Chemistry,Biography,2024-03-24,14
Network Security,English,Reference,2020-07-20,17
Data Structures,Economics,Education,2023-09-21,18
Digital Electronics,Physics,Mystery,2020-10-24,18
Environmental Studies,Engineering,Technology,2022-01-06,16
Artificial Intelligence,Physics,Biography,2023-04-02,18
Database Systems,Economics,Education,2025-08-27,15
Machine Learning,Biology,Biography,2021-01-24,11
Modern History,Economics,Technology,2025-06-29,20
Advanced Mathematics,Physics,Biography,2024-10-12,10
Quantum Physics,Mathematics,Biography,2023-05-03,16
Modern History,Economics,Reference,2020-05-10,7
Digital Logic Design,Computer Science,Fiction,2022-03-11,10
Artificial Intelligence,Computer Science,Fiction,2020-09-25,9
Digital Electronics,Computer Science,Education,2025-01-16,20
Genetics,Engineering,Education,2025-02-05,9
Civil Engineering Basics,Physics,Fiction,2022-02-19,20
Cyber Ethics,Chemistry,Science,2020-08-12,19
Robotics,Chemistry,Education,2021-04-03,6
Microprocessors,Economics,Technology,2025-09-18,14
Database Systems,Chemistry,Fiction,2023-01-07,11
Quantum Physics,Engineering,Science,2025-06-16,14
Advanced Mathematics,Biology,Mystery,2022-06-11,18
Environmental Studies,English,Fiction,2021-12-17,17
Machine Learning,History,Mystery,2020-06-01,12
Digital Logic Design,History,Mystery,2025-10-01,12
Genetics,Economics,Fiction,2020-07-22,15
Advanced Mathematics,Economics,Technology,2025-07-29,14
Human Anatomy,Chemistry,Education,2023-01-05,12
Digital Electronics,Economics,Mystery,2020-03-08,9
Civil Engineering Basics,Biology,Mystery,2024-02-10,18
Modern History,Mathematics,Fiction,2020-10-16,12
Cyber Ethics,Biology,Biography,2020-05-12,18
Poetry Collection,Computer Science,Mystery,2024-09-22,8
Organic Chemistry,History,Mystery,2021-08-11,13
Digital Electronics,Computer Science,Technology,2023-02-04,13
Data Structures,Mathematics,Education,2024-10-25,7
Quantum Physics,Computer Science,Technology,2021-02-10,18
Cyber Ethics,Economics,Biography,2022-10-26,7
Microprocessors,Computer Science,Science,2020-08-14,19
Artificial Intelligence,Computer Science,Reference,2021-02-12,12
Advanced Mathematics,Mathematics,Fiction,2025-11-19,15
Genetics,History,Education,2021-04-23,9
Cyber Ethics,Biology,Reference,2024-03-08,9
Modern History,Economics,Biography,2020-06-04,5
Cyber Ethics,English,Fiction,2020-07-24,5
Artificial Intelligence,History,Reference,2025-08-01,7
Organic Chemistry,Computer Science,Reference,2021-11-09,14
Microprocessors,Computer Science,Fiction,2023-02-10,8
Artificial Intelligence,Mathematics,Technology,2022-03-31,8
Microprocessors,Biology,Biography,2021-11-13,16
Advanced Mathematics,Engineering,Education,2022-12-21,20
Digital Electronics,Chemistry,Science,2021-09-21,15
Operating Systems,Economics,Science,2020-09-25,15
Data Structures,Computer Science,Technology,2023-10-12,10
Network Security,Engineering,Science,2021-04-28,12
Operating Systems,Mathematics,Reference,2024-02-09,10
Organic Chemistry,Computer Science,Reference,2020-09-01,10
Database Systems,Engineering,Fiction,2021-04-27,15
Advanced Mathematics,Mathematics,Biography,2021-09-25,11
Civil Engineering Basics,Computer Science,Mystery,2022-07-26,9
Robotics,History,Science,2023-05-08,6
Advanced Mathematics,Engineering,Education,2020-01-11,5
Robotics,Mathematics,Technology,2022-09-12,11
Network Security,Computer Science,Reference,2025-03-08,12
Database Systems,Mathematics,Education,2021-03-12,11
Environmental Studies,Physics,Education,2025-05-28,10
Database Systems,Chemistry,Fiction,2025-10-25,10
Operating Systems,Computer Science,Mystery,2024-04-20,16
Operating Systems,Economics,Education,2025-01-08,5
Civil Engineering Basics,Engineering,Technology,2025-08-31,9
Human Anatomy,History,Biography,2021-11-05,11
Advanced Mathematics,History,Mystery,2021-06-11,10
Environmental Studies,Chemistry,Biography,2020-09-09,9
Poetry Collection,Physics,Technology,2021-07-13,5
Microprocessors,Computer Science,Reference,2024-01-24,14
Organic Chemistry,Computer Science,Reference,2024-12-18,10
Civil Engineering Basics,Physics,Reference,2024-09-11,14
Modern History,Engineering,Mystery,2021-05-07,20
Data Structures,Biology,Biography,2025-04-05,8
Advanced Mathematics,Computer Science,Science,2025-06-26,18
Digital Electronics,Chemistry,Fiction,2021-03-11,9
Operating Systems,History,Reference,2020-03-17,6
Microprocessors,Biology,Biography,2022-05-30,6
Civil Engineering Basics,Mathematics,Technology,2023-04-16,8
Genetics,Biology,Reference,2023-02-21,13
Machine Learning,Biology,Technology,2022-01-19,17
Poetry Collection,English,Education,2024-10-16,13
Genetics,Computer Science,Education,2023-01-16,12
Cyber Ethics,Engineering,Science,2020-11-22,18
Quantum Physics,Computer Science,Biography,2025-09-03,13
Modern History,Biology,Technology,2021-02-16,15
Advanced Mathematics,Economics,Fiction,2025-07-16,12
Digital Logic Design,Biology,Education,2020-06-17,16
Advanced Mathematics,Engineering,Science,2025-12-24,12
Civil Engineering Basics,English,Technology,2022-04-21,6
Organic Chemistry,Chemistry,Biography,2023-09-24,7
Database Systems,English,Mystery,2020-08-08,12
Robotics,Physics,Biography,2022-05-07,17
Modern History,English,Education,2023-11-03,17
Network Security,English,Biography,2024-08-14,14
Advanced Mathematics,English,Technology,2023-12-25,20
Quantum Physics,Economics,Reference,2023-04-14,17
Robotics,Computer Science,Education,2025-06-25,18
Network Security,English,Biography,2020-09-15,8
Operating Systems,Economics,Fiction,2021-06-22,12
Human Anatomy,English,Technology,2020-03-01,13
Microprocessors,Economics,Reference,2025-07-25,7
Cyber Ethics,Engineering,Education,2025-07-29,10
Machine Learning,Engineering,Mystery,2020-03-30,9
Environmental Studies,History,Biography,2024-02-09,11
Human Anatomy,Biology,Biography,2020-02-29,20
Human Anatomy,Engineering,Education,2024-07-12,9
Human Anatomy,English,Technology,2021-11-11,17
Network Security,Computer Science,Science,2023-11-19,18
Operating Systems,Computer Science,Science,2023-03-08,12
Genetics,Economics,Reference,2022-07-02,6
Poetry Collection,Mathematics,Reference,2022-03-14,19
Environmental Studies,Engineering,Science,2025-03-01,20
Artificial Intelligence,English,Biography,2021-05-23,19
Network Security,Chemistry,Mystery,2022-09-01,17
Data Structures,English,Science,2022-09-15,20
Machine Learning,Chemistry,Fiction,2025-09-04,5
Network Security,Mathematics,Education,2020-12-31,20
Environmental Studies,Mathematics,Fiction,2023-01-24,17
Machine Learning,History,Science,2025-05-04,8
Machine Learning,Physics,Science,2022-07-01,6
Advanced Mathematics,History,Biography,2023-10-13,16
Civil Engineering Basics,English,Biography,2025-04-06,9
Advanced Mathematics,History,Science,2023-05-26,16
Quantum Physics,Engineering,Education,2024-06-22,13
Poetry Collection,Computer Science,Fiction,2020-07-29,15
Cyber Ethics,Mathematics,Mystery,2023-12-20,7
Data Structures,Physics,Mystery,2021-05-31,6
Poetry Collection,Physics,Mystery,2021-12-10,5
Organic Chemistry,Engineering,Biography,2023-01-09,10
Environmental Studies,Engineering,Mystery,2023-09-04,20
Machine Learning,Physics,Biography,2023-05-25,14
Digital Electronics,Mathematics,Education,2023-11-24,19
Modern History,Biology,Reference,2025-03-04,19
Quantum Physics,Engineering,Fiction,2021-08-01,18
Machine Learning,Computer Science,Biography,2024-07-21,16
Data Structures,Engineering,Biography,2020-02-06,6
Network Security,Economics,Fiction,2022-02-26,12
Digital Electronics,Physics,Technology,2021-03-18,12
Advanced Mathematics,English,Science,2024-12-06,18
Artificial Intelligence,Chemistry,Education,2023-04-26,16
Human Anatomy,History,Technology,2022-09-20,11
Machine Learning,Biology,Reference,2025-05-19,19
Digital Electronics,Biology,Reference,2021-04-06,5
Database Systems,Chemistry,Technology,2022-02-08,6
Quantum Physics,History,Biography,2021-08-23,13
Environmental Studies,Engineering,Education,2025-05-10,15
Organic Chemistry,Computer Science,Technology,2024-10-28,19
Genetics,Engineering,Education,2022-03-25,6
Modern History,Chemistry,Fiction,2025-07-16,17
Digital Electronics,Engineering,Education,2025-10-04,8
Advanced Mathematics,Physics,Science,2022-07-23,11
Civil Engineering Basics,Chemistry,Science,2020-09-19,12
Microprocessors,Chemistry,Biography,2023-07-17,14
Data Structures,Mathematics,Technology,2023-02-13,16
Microprocessors,Computer Science,Fiction,2022-12-11,14
Organic Chemistry,Computer Science,Science,2020-02-20,14
Organic Chemistry,Economics,Science,2025-01-11,9
Poetry Collection,Economics,Education,2022-04-29,15
Cyber Ethics,Physics,Biography,2021-07-18,16
Database Systems,Economics,Science,2020-05-11,8
Environmental Studies,Chemistry,Fiction,2020-09-12,8
Environmental Studies,History,Education,2021-11-05,20
Poetry Collection,Computer Science,Technology,2023-12-01,13
Artificial Intelligence,Chemistry,Science,2022-05-15,16
Data Structures,Engineering,Mystery,2020-03-26,16
Poetry Collection,Physics,Mystery,2024-03-19,15
Digital Electronics,Computer Science,Education,2022-02-20,14
Robotics,Computer Science,Biography,2022-11-17,10
Quantum Physics,Computer Science,Technology,2021-12-10,8
Artificial Intelligence,Computer Science,Fiction,2021-04-12,11
Database Systems,History,Mystery,2023-04-23,5
Operating Systems,Computer Science,Technology,2025-09-13,5
Robotics,Biology,Fiction,2024-03-29,19
Digital Logic Design,Engineering,Education,2021-01-23,10
Civil Engineering Basics,Engineering,Reference,2023-11-15,16
Organic Chemistry,Engineering,Technology,2025-09-20,18
Cyber Ethics,English,Fiction,2025-10-08,11
Poetry Collection,Biology,Science,2023-05-30,7
Network Security,Computer Science,Science,2021-02-22,11
Poetry Collection,Engineering,Fiction,2020-12-21,10
Database Systems,Mathematics,Fiction,2025-11-08,14
Robotics,Economics,Technology,2020-07-16,15
Civil Engineering Basics,English,Fiction,2020-06-10,18
Operating Systems,Computer Science,Education,2023-08-24,10
Operating Systems,Chemistry,Education,2025-05-31,8
Network Security,Biology,Technology,2025-06-01,9
Poetry Collection,Economics,Science,2022-10-12,17
Quantum Physics,English,Education,2023-01-25,7
Digital Logic Design,Economics,Technology,2022-06-16,9
Data Structures,Economics,Reference,2024-09-23,5
Artificial Intelligence,Chemistry,Biography,2024-03-01,17
Quantum Physics,Chemistry,Science,2023-12-07,12
Quantum Physics,English,Reference,2024-03-25,6
Operating Systems,Engineering,Science,2021-08-02,6
Network Security,Biology,Education,2021-05-22,12
Robotics,History,Mystery,2023-05-13,14
Operating Systems,Computer Science,Technology,2025-08-02,18
Microprocessors,Engineering,Reference,2020-12-24,15
Network Security,English,Science,2022-05-19,16
Artificial Intelligence,Mathematics,Mystery,2025-10-10,18
Digital Logic Design,Chemistry,Reference,2025-11-10,8
Poetry Collection,Engineering,Technology,2024-11-15,12
Robotics,Biology,Technology,2021-10-25,19
Poetry Collection,English,Reference,2022-12-16,9
Database Systems,Chemistry,Mystery,2022-11-25,6
Operating Systems,Physics,Biography,2021-11-19,7
Advanced Mathematics,History,Mystery,2022-10-19,7
Organic Chemistry,Computer Science,Technology,2021-03-11,7
Operating Systems,Economics,Technology,2025-02-05,14
Organic Chemistry,English,Biography,2025-12-23,19
Poetry Collection,Engineering,Fiction,2020-06-20,20
Modern History,Biology,Education,2024-04-08,6
Quantum Physics,History,Reference,2022-08-01,16
Poetry Collection,Physics,Education,2021-07-13,6
Data Structures,Mathematics,Fiction,2024-02-04,8
Machine Learning,Economics,Mystery,2025-04-04,20
Organic Chemistry,Mathematics,Education,2022-03-07,5
Digital Logic Design,Biology,Mystery,2025-08-25,10
Robotics,Computer Science,Technology,2023-09-20,17
Civil Engineering Basics,Physics,Mystery,2023-12-19,6
Advanced Mathematics,Biology,Biography,2022-03-19,7
Machine Learning,Economics,Education,2020-01-28,17
Digital Logic Design,Mathematics,Science,2023-10-15,10
Quantum Physics,Economics,Mystery,2022-11-30,14
Network Security,Physics,Science,2024-11-08,16
Genetics,Economics,Education,2021-09-22,18
Artificial Intelligence,Engineering,Fiction,2021-07-28,17
Cyber Ethics,English,Fiction,2025-07-22,15
Modern History,History,Fiction,2020-07-28,6
Machine Learning,Biology,Science,2024-09-01,10
Cyber Ethics,Computer Science,Mystery,2024-10-31,15
Civil Engineering Basics,Engineering,Biography,2025-06-13,16
Civil Engineering Basics,Biology,Education,2020-03-21,15
Data Structures,Mathematics,Science,2023-12-28,19
Artificial Intelligence,Engineering,Science,2021-05-10,17
Robotics,Computer Science,Technology,2022-04-13,5
Quantum Physics,History,Fiction,2020-09-19,18
Advanced Mathematics,Mathematics,Education,2025-03-31,15
Robotics,History,Mystery,2020-05-26,12
Cyber Ethics,Mathematics,Technology,2024-09-24,15
Machine Learning,Mathematics,Science,2024-02-26,16
Artificial Intelligence,Mathematics,Education,2020-06-22,10
Modern History,Economics,Biography,2022-02-28,8
Artificial Intelligence,Mathematics,Science,2021-01-16,16
Microprocessors,Computer Science,Reference,2022-03-02,6
Digital Electronics,Computer Science,Education,2024-01-12,11
Modern History,Physics,Mystery,2023-04-14,16
Organic Chemistry,Physics,Education,2020-07-15,7
Robotics,Economics,Biography,2025-03-20,16
Poetry Collection,Physics,Technology,2020-03-20,14
Environmental Studies,English,Biography,2025-01-30,20
Digital Electronics,Computer Science,Fiction,2021-04-24,15
Digital Electronics,Computer Science,Fiction,2025-11-15,10
Advanced Mathematics,Computer Science,Mystery,2020-07-23,9
Digital Electronics,Chemistry,Science,2023-02-04,9
Cyber Ethics,English,Education,2022-12-13,7
Cyber Ethics,Computer Science,Reference,2020-06-18,10
Data Structures,Computer Science,Mystery,2025-11-24,14
Database Systems,Mathematics,Reference,2020-07-18,13
Machine Learning,History,Fiction,2025-04-15,7
Organic Chemistry,Physics,Technology,2023-10-28,16
Genetics,Engineering,Technology,2024-08-13,17
Genetics,History,Technology,2024-01-05,19
Operating Systems,Engineering,Biography,2025-02-10,10
Civil Engineering Basics,Physics,Mystery,2025-11-30,10
Digital Electronics,Physics,Fiction,2022-09-25,15
Digital Logic Design,English,Reference,2024-01-23,15
Environmental Studies,Chemistry,Education,2021-12-28,13
Quantum Physics,Physics,Science,2023-08-03,11
Advanced Mathematics,Chemistry,Technology,2023-08-23,11
Data Structures,History,Fiction,2021-11-08,8
Modern History,Computer Science,Technology,2023-05-05,16
Artificial Intelligence,Chemistry,Mystery,2022-04-14,13
Operating Systems,Economics,Fiction,2020-09-29,17
Advanced Mathematics,History,Fiction,2024-10-14,11
Organic Chemistry,Biology,Technology,2025-09-09,19
Artificial Intelligence,Mathematics,Reference,2025-02-15,20
Data Structures,Mathematics,Biography,2024-02-21,20
Modern History,English,Science,2020-03-23,13
Poetry Collection,Biology,Fiction,2023-08-19,11
Microprocessors,Economics,Education,2025-06-16,18
Network Security,Mathematics,Fiction,2022-07-15,5
Quantum Physics,Mathematics,Science,2022-05-21,5
Advanced Mathematics,Biology,Biography,2022-10-07,14
Database Systems,Computer Science,Biography,2022-07-22,20
Modern History,Physics,Fiction,2023-11-16,15
Advanced Mathematics,Economics,Biography,2023-02-01,15
Digital Electronics,History,Fiction,2023-01-23,16
Robotics,History,Fiction,2021-08-30,5
Digital Electronics,Computer Science,Biography,2025-04-08,13
Robotics,Physics,Technology,2022-03-18,8
Quantum Physics,Physics,Reference,2023-01-22,16
Quantum Physics,History,Reference,2022-11-02,20
Robotics,Economics,Mystery,2024-10-06,14
Civil Engineering Basics,Mathematics,Mystery,2021-04-20,10
Data Structures,Biology,Mystery,2020-06-09,6
Operating Systems,Physics,Education,2024-11-30,13
Cyber Ethics,English,Technology,2021-03-14,10
Artificial Intelligence,Engineering,Science,2022-02-14,10
Digital Logic Design,Engineering,Fiction,2021-10-09,20
Quantum Physics,History,Biography,2022-03-03,17
Environmental Studies,Computer Science,Biography,2025-12-03,8
Artificial Intelligence,Mathematics,Mystery,2022-12-10,15
Organic Chemistry,Chemistry,Mystery,2025-06-13,19
Artificial Intelligence,Mathematics,Technology,2021-11-18,5
Environmental Studies,Mathematics,Biography,2021-01-17,20
Digital Logic Design,English,Mystery,2025-06-01,13
Organic Chemistry,Engineering,Technology,2024-03-15,17
Poetry Collection,Chemistry,Education,2023-08-01,8
Microprocessors,Economics,Reference,2025-07-09,17
Data Structures,Computer Science,Education,2025-11-19,9
Robotics,English,Fiction,2025-02-23,19
Operating Systems,Economics,Science,2023-05-26,12
Environmental Studies,Chemistry,Fiction,2020-04-05,12
Digital Logic Design,History,Science,2025-05-16,19
Data Structures,Economics,Reference,2024-11-11,9
Digital Electronics,Engineering,Biography,2024-05-09,8
Network Security,Chemistry,Technology,2020-05-09,7
Civil Engineering Basics,Mathematics,Biography,2020-03-24,16
Genetics,Engineering,Mystery,2021-03-27,18
Advanced Mathematics,Engineering,Science,2025-01-28,15
Civil Engineering Basics,English,Technology,2023-08-14,15
Modern History,English,Education,2021-07-15,9
Microprocessors,Biology,Reference,2025-10-30,6
Digital Electronics,English,Education,2020-11-26,8
Poetry Collection,Physics,Technology,2020-05-03,17
Genetics,English,Biography,2021-08-15,15
Cyber Ethics,Economics,Education,2023-05-28,13
Digital Electronics,Physics,Mystery,2023-01-13,5
Modern History,Physics,Biography,2022-04-02,15
Digital Logic Design,Physics,Reference,2022-02-09,5
Modern History,English,Mystery,2024-02-23,14
Artificial Intelligence,Computer Science,Technology,2024-09-02,12
Organic Chemistry,Computer Science,Education,2022-10-07,16
Digital Logic Design,Engineering,Technology,2025-08-10,16
Organic Chemistry,Engineering,Science,2024-04-30,5
Microprocessors,Engineering,Technology,2023-03-09,17
Operating Systems,Mathematics,Reference,2021-08-15,11
Robotics,Computer Science,Education,2023-11-14,19
Organic Chemistry,Mathematics,Science,2020-06-20,8
Digital Logic Design,Mathematics,Reference,2024-05-02,19
Quantum Physics,History,Technology,2025-01-16,17
Quantum Physics,Biology,Mystery,2025-07-03,8
Database Systems,History,Technology,2023-03-10,19
Microprocessors,Chemistry,Education,2024-09-02,11
Organic Chemistry,Chemistry,Reference,2022-09-06,18
Digital Logic Design,Economics,Biography,2021-04-09,11
Data Structures,History,Education,2022-10-13,19
Poetry Collection,Engineering,Education,2022-09-25,9
Artificial Intelligence,English,Biography,2022-07-17,17
Operating Systems,Engineering,Education,2024-03-02,10
Civil Engineering Basics,Chemistry,Education,2021-02-05,10
Digital Electronics,Chemistry,Fiction,2022-02-10,17
Advanced Mathematics,Biology,Biography,2023-10-06,9
Machine Learning,Biology,Fiction,2025-09-01,19
Organic Chemistry,Chemistry,Reference,2025-05-01,14
Advanced Mathematics,Engineering,Biography,2024-07-29,16
Network Security,History,Reference,2023-11-24,5
Digital Logic Design,Economics,Technology,2021-04-05,15
Digital Electronics,Economics,Biography,2021-04-19,14
Database Systems,Physics,Technology,2023-09-25,17
Genetics,Engineering,Reference,2021-01-31,14
Robotics,Engineering,Science,2024-07-28,16
Human Anatomy,Mathematics,Mystery,2023-05-13,18
Microprocessors,Computer Science,Science,2020-04-21,11
Machine Learning,Computer Science,Education,2020-11-10,11
Digital Logic Design,Mathematics,Technology,2023-07-08,12
Genetics,Chemistry,Science,2021-05-05,10
Operating Systems,Mathematics,Mystery,2025-12-13,6
Human Anatomy,History,Technology,2025-05-20,12
Microprocessors,Mathematics,Fiction,2025-04-07,10
Organic Chemistry,Biology,Fiction,2022-05-21,19
Modern History,Engineering,Reference,2025-01-13,12
Machine Learning,History,Science,2023-12-25,12
